              ╭------------------------------------╮
         Name | Smash 'n' Grab                     |
     2-action | Study                              |
 2-subactions | 💡💡                                 |
     3-action | Spy Stuff                          |
 3-subactions | 🔓👊🔊                                |
     4-action | Sprint                             |
 4-subactions | 🔊🔊➜➜➜                              |
     5-action | Dash                               |
 5-subactions | 🔊➜➜                                |
     6-action | Short                              |
 6-subactions | 🔓📷🔊🔊➜                              |
            1 | Rake                               |
              | 🔓🔓🔊➜                               |
            2 | Study                              |
              | 💡💡                                 |
            3 | Spy Stuff                          |
              | 🔓👊🔊                                |
            4 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            5 | Dash                               |
              | 🔊➜➜                                |
            6 | Short                              |
              | 🔓📷🔊🔊➜                              |
        Rolls | Rake                               |
              | 🔓🔓🔊➜/Study                         |
              | 💡💡/Spy Stuff                       |
              | 🔓👊🔊/Sprint                         |
              | 🔊🔊➜➜➜/Dash                         |
              | 🔊➜➜/Short                          |
              | 🔓📷🔊🔊➜                              |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 2                                  |
            🔊 | 7                                  |
            ➜ | 7                                  |
            📷 | 1                                  |
            👊 | 1                                  |
            🔓 | 4                                  |
            🔍 | 0                                  |
            💰 | 0                                  |
      Good at | Locks, Multi-moves                 |
        Lacks | Loot, Reveal                       |
    Seasoning | Ideas, Cameras, Subdue             |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Splice In                          |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Yank Wires                         |
     1-action | Unplug                             |
 1-subactions | 📷📷🔊➜                               |
     2-action | Sprint                             |
 2-subactions | 🔊🔊➜➜➜                              |
     3-action | Disable                            |
 3-subactions | 📷🔊➜                                |
     4-action | Recon                              |
 4-subactions | 💡💡🔊🔍                               |
     5-action | Examine                            |
 5-subactions | 💡💡💡🔊                               |
     6-action | Disable                            |
 6-subactions | 📷🔊➜                                |
            1 | Unplug                             |
              | 📷📷🔊➜                               |
            2 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            3 | Disable                            |
              | 📷🔊➜                                |
            4 | Recon                              |
              | 💡💡🔊🔍                               |
            5 | Examine                            |
              | 💡💡💡🔊                               |
            6 | Disable                            |
              | 📷🔊➜                                |
        Rolls | Unplug                             |
              | 📷📷🔊➜/Sprint                        |
              | 🔊🔊➜➜➜/Disable                      |
              | 📷🔊➜/Recon                          |
              | 💡💡🔊🔍/Examine                       |
              | 💡💡💡🔊/Disable                       |
              | 📷🔊➜                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 5                                  |
            🔊 | 7                                  |
            ➜ | 6                                  |
            📷 | 4                                  |
            👊 | 0                                  |
            🔓 | 0                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Cameras, Multi-moves, Ideas, Revea |
              | l                                  |
        Lacks | Subdue, Locks                      |
    Seasoning |                                    |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Splice In                          |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Yank Wires                         |
     1-action | Unplug                             |
 1-subactions | 📷📷🔊➜                               |
     2-action | Sprint                             |
 2-subactions | 🔊🔊➜➜➜                              |
     3-action | Disable                            |
 3-subactions | 📷🔊➜                                |
     4-action | Recon                              |
 4-subactions | 💡💡🔊🔍                               |
     5-action | Examine                            |
 5-subactions | 💡💡💡🔊                               |
     6-action | Disable                            |
 6-subactions | 📷🔊➜                                |
            1 | Unplug                             |
              | 📷📷🔊➜                               |
            2 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            3 | Disable                            |
              | 📷🔊➜                                |
            4 | Recon                              |
              | 💡💡🔊🔍                               |
            5 | Examine                            |
              | 💡💡💡🔊                               |
            6 | Disable                            |
              | 📷🔊➜                                |
        Rolls | Unplug                             |
              | 📷📷🔊➜/Sprint                        |
              | 🔊🔊➜➜➜/Disable                      |
              | 📷🔊➜/Recon                          |
              | 💡💡🔊🔍/Examine                       |
              | 💡💡💡🔊/Disable                       |
              | 📷🔊➜                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 5                                  |
            🔊 | 7                                  |
            ➜ | 6                                  |
            📷 | 4                                  |
            👊 | 0                                  |
            🔓 | 0                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Cameras, Multi-moves, Ideas, Revea |
              | l                                  |
        Lacks | Subdue, Locks                      |
    Seasoning |                                    |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Tinker                             |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Yank Wires                         |
     1-action | Unplug                             |
 1-subactions | 📷📷🔊➜                               |
     2-action | Stride                             |
 2-subactions | 🔊➜🔍                                |
     3-action | Disable                            |
 3-subactions | 📷🔊➜                                |
     4-action | Stride                             |
 4-subactions | 🔊➜🔍                                |
     5-action | Eyeball                            |
 5-subactions | 💡🔊🔊➜                               |
     6-action | Disable                            |
 6-subactions | 📷🔊➜                                |
            1 | Unplug                             |
              | 📷📷🔊➜                               |
            2 | Stride                             |
              | 🔊➜🔍                                |
            3 | Disable                            |
              | 📷🔊➜                                |
            4 | Stride                             |
              | 🔊➜🔍                                |
            5 | Eyeball                            |
              | 💡🔊🔊➜                               |
            6 | Disable                            |
              | 📷🔊➜                                |
        Rolls | Unplug                             |
              | 📷📷🔊➜/Stride                        |
              | 🔊➜🔍/Disable                        |
              | 📷🔊➜/Stride                         |
              | 🔊➜🔍/Eyeball                        |
              | 💡🔊🔊➜/Disable                       |
              | 📷🔊➜                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 1                                  |
            🔊 | 7                                  |
            ➜ | 6                                  |
            📷 | 4                                  |
            👊 | 0                                  |
            🔓 | 0                                  |
            🔍 | 2                                  |
            💰 | 0                                  |
      Good at | Cameras, Multi-moves, Ideas        |
        Lacks | Subdue, Locks                      |
    Seasoning | (extra quiet)                      |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Tinker                             |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Yank Wires                         |
     1-action | Unplug                             |
 1-subactions | 📷📷🔊➜                               |
     2-action | Stride                             |
 2-subactions | 🔊➜🔍                                |
     3-action | Disable                            |
 3-subactions | 📷🔊➜                                |
     4-action | Stride                             |
 4-subactions | 🔊➜🔍                                |
     5-action | Eyeball                            |
 5-subactions | 💡🔊🔊➜                               |
     6-action | Disable                            |
 6-subactions | 📷🔊➜                                |
            1 | Unplug                             |
              | 📷📷🔊➜                               |
            2 | Stride                             |
              | 🔊➜🔍                                |
            3 | Disable                            |
              | 📷🔊➜                                |
            4 | Stride                             |
              | 🔊➜🔍                                |
            5 | Eyeball                            |
              | 💡🔊🔊➜                               |
            6 | Disable                            |
              | 📷🔊➜                                |
        Rolls | Unplug                             |
              | 📷📷🔊➜/Stride                        |
              | 🔊➜🔍/Disable                        |
              | 📷🔊➜/Stride                         |
              | 🔊➜🔍/Eyeball                        |
              | 💡🔊🔊➜/Disable                       |
              | 📷🔊➜                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 1                                  |
            🔊 | 7                                  |
            ➜ | 6                                  |
            📷 | 4                                  |
            👊 | 0                                  |
            🔓 | 0                                  |
            🔍 | 2                                  |
            💰 | 0                                  |
      Good at | Cameras, Multi-moves, Ideas        |
        Lacks | Subdue, Locks                      |
    Seasoning | (extra quiet)                      |
  Noise Level | Low                                |
              ╰------------------------------------╯
